playerid,p_HBP,p_SHO,b_AB,p_L,p_SV,p_GF,p_CG,p_R,b_HBP,b_GIDP,b_BB,b_H,b_SH,b_IBB,b_2B,b_3B,b_SB,b_RBI,b_SO,b_G,p_W,b_R,classification
bluegos01,NULL,NULL,6440,NULL,NULL,NULL,NULL,NULL,71,2,723,1751,218,0,276,67,140,848,515,1867,NULL,883,0
bluelu01,NULL,NULL,5904,NULL,NULL,NULL,NULL,NULL,43,0,1092,1696,168,0,319,109,151,695,436,1615,NULL,1151,0
bluevi01,23,37,512,161,2,11,143,1357,3,2,49,53,53,0,9,0,0,15,271,508,209,37,0
blylebe01,155,60,451,250,0,3,242,2029,2,4,5,59,56,0,7,0,0,25,193,699,287,19,1
boccajo01,NULL,NULL,1462,NULL,NULL,NULL,NULL,NULL,5,43,96,320,16,20,56,5,3,148,246,551,NULL,117,0
boddimi01,87,16,0,116,3,15,63,992,0,0,0,0,0,0,0,0,0,0,0,347,134,2,0
bodiepi01,NULL,NULL,3670,NULL,NULL,NULL,NULL,NULL,18,0,312,1011,160,0,169,72,83,516,240,1050,NULL,393,0
boggswa01,0,0,9180,0,0,2,0,1,23,236,1412,3010,29,180,578,61,24,1014,745,2440,0,1513,1
boleyjo01,NULL,NULL,1780,NULL,NULL,NULL,NULL,NULL,13,0,130,478,56,0,88,22,15,227,84,540,NULL,203,0
bolinbo01,60,10,423,75,50,161,32,687,3,6,35,69,21,0,9,1,1,35,166,496,88,39,0
bondsba01,NULL,NULL,9847,NULL,NULL,NULL,NULL,NULL,106,165,2558,2935,4,688,601,77,514,1996,1539,2986,NULL,2227,0
